"","date","adType","category","placement","keywords","body","ageMean","clickThroughRate","clickPerDollar"
"1","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","Click """"Like"""" to become a fan of Retail Store X!",27,0.0228965290368121,143.103306480075
"2","3/26/2013","Photo Post","High End","mobile","#Lululemon Athletica","Click """"Like"""" to become a fan of Retail Store X!",27,0.0216784353176684,135.490220735428
"3","3/26/2013","Photo Post","General","desktopfeed","#Lululemon Athletica","Click """"Like"""" to become a fan of Retail Store X!",27,0.0115794056196368,72.3712851227299
"4","3/26/2013","Photo Post","Cosmetics","mobile","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,0.0381474871889005,238.421794930628
"5","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,0.0338292969327427,211.433105829642
"6","3/26/2013","Photo Post","Retailer","mobile","#Lucky Brand Jeans","Need inspiration for your spring wardrobe? """"Like"""" us for more!",52,0.0337615588033635,211.009742521022
"7","3/26/2013","Photo Post","Department","mobile","#Lucky Brand Jeans","Check out a sneak peak of what's new in our stores!",52,0.0295525155081742,184.703221926089
"8","3/26/2013","Photo Post","Department","desktopfeed","#Lucky Brand Jeans","Check out a sneak peak of what's new in our stores!",52,0.0300147395447237,187.592122154523
"9","3/26/2013","Photo Post","Department","desktopfeed","#Lucky Brand Jeans","Check out a sneak peak of what's new in our stores!",52,0.0301156634124023,188.222896327514
"10","3/26/2013","Photo Post","Retailer","mobile","#Lululemon Athletica","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.026398287821417,164.989298883856
"11","3/26/2013","Photo Post","Department","mobile","#Lululemon Athletica","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.0265246933187681,165.779333242301
"12","3/26/2013","Photo Post","Department","mobile","#Lululemon Athletica","Click """"Like"""" to become a fan of Retail Store X!",34.5,0.029442294222368,184.0143388898
"13","3/26/2013","Photo Post","Department","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0339045482394651,211.903426496657
"14","3/26/2013","Photo Post","Retailer","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0288338494777605,180.211559236003
"15","3/26/2013","Photo Post","Retailer","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",44.5,0.0279567727138761,174.729829461726
"16","3/26/2013","Photo Post","General","mobile","#Shopping","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,0.0217284216685345,135.80263542834
"17","3/26/2013","Photo Post","Retailer","desktopfeed","#Shopping","What's your favorite Spring fashion trend? """"Like"""" us and share!",27,0.0186678755638845,116.674222274278
"18","3/26/2013","Photo Post","eCom","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Click """"Like"""" to see what's new in our stores for Spring!!",52,0.028666781668876,179.167385430475
"19","3/26/2013","Photo Post","High End","desktopfeed","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Check out a sneak peak of what's new in our stores!",34.5,0.021018452470429,131.365327940181
"20","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",27,0.0188920951293127,118.075594558204
"21","3/26/2013","Photo Post","Retailer","desktopfeed","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",27,0.0214223218056532,133.889511285333
"22","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","Share your favorite fresh Spring looks on our Facebook page. Click """"Like"""" now!",27,0.0252286383050849,157.678989406781
"23","3/26/2013","Photo Post","High End","mobile","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0279619115732783,174.76194733299
"24","3/26/2013","Photo Post","eCom","desktopfeed","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0212304479165439,132.690299478399
"25","3/26/2013","Photo Post","Retailer","desktopfeed","#Lucky Brand Jeans","What's your favorite Spring fashion trend? """"Like"""" us and share!",44.5,0.0246825391182807,154.265869489254
"26","3/26/2013","Photo Post","eCom","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Check out a sneak peak of what's new in our stores!",44.5,0.0288211383392235,180.132114620147
"27","3/26/2013","Photo Post","Cosmetics","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Check out a sneak peak of what's new in our stores!",44.5,0.0362761761160219,226.726100725137
"28","3/26/2013","Photo Post","Cosmetics","mobile","#Almay, #Clinique, #CoverGirl, #Maybelline, #Sephora, mac cosmetics","Check out a sneak peak of what's new in our stores!",44.5,0.0342351917175703,213.969948234814
"29","3/26/2013","Photo Post","Cosmetics","mobile","#Abercrombie & Fitch","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0345828289930627,216.142681206642
"30","3/26/2013","Photo Post","Cosmetics","desktopfeed","#Abercrombie & Fitch","Need inspiration for your spring wardrobe? """"Like"""" us for more!",44.5,0.0292190599959832,182.619124974895
